ParkName,County,ParkIdentifier,ParkAddress,FireAuthority,Jurisdiction,MH_Spaces,RV_Lots_W_Drains,RV_Lots_WO_Drains,OperatedBy,FullAddress,Address,City,State,Zip
PARK ROYALE,CONTRA COSTA,07-0077-MP,"2050 MONUMENT BLVD, PLEASANT HILL, CA 94523, (510) 685-7559","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",43,0,0,"BASS, TERRELL, 2184 DEER OAK WY, DANVILLE, CA 94506","2050 MONUMENT BLVD, PLEASANT HILL, CA 94523",2050 MONUMENT BLVD,PLEASANT HILL,CA,94523
EAGLE CITY,CONTRA COSTA,07-0079-MP,"2333 MAIN ST, OAKLEY, CA 94561, (925) 625-2217","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",149,0,0,"EAGLE CITY INC, 3090 FITE CIR SUITE # 203, SACRAMENTO, CA 95827","2333 MAIN ST, OAKLEY, CA 94561",2333 MAIN ST,OAKLEY,CA,94561
FAR HILLS MP,CONTRA COSTA,07-0080-MP,"247 BAILEY RD, BAY POINT, CA 94565, (925) 458-4489","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",62,31,0,"FAR HILLS MOBILE PARK PARTNERSHIP, 1064 WILHAGGEN PARK LANE, SACRAMENTO, CA 95864","247 BAILEY RD, BAY POINT, CA 94565",247 BAILEY RD,BAY POINT,CA,94565
THE WILLOWS AT BETHEL ISLAND,CONTRA COSTA,07-0082-MP,"3656 WILLOW RD, BETHEL ISLAND, CA 94511, (925) 684-3536","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",172,0,0,"DENNEE, GLEN, DON CLANTON/KA WONG 3620 CHARTER PARK DR, SAN JOSE, CA 95136","3656 WILLOW RD, BETHEL ISLAND, CA 94511",3656 WILLOW RD,BETHEL ISLAND,CA,94511
MARINA MOBILE MANOR,CONTRA COSTA,07-0083-MP,"3255 WELLS RD, OAKLEY, CA 94561, (925) 684-9022","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",24,0,0,"SILVA, JOHN, 44844 S GRIMMER BLVD, FREMONT, CA 94538","3255 WELLS RD, OAKLEY, CA 94561",3255 WELLS RD,OAKLEY,CA,94561
CLUB MARINA MHP,CONTRA COSTA,07-0086-MP,"55 PACIFICA AVE, BAY POINT, CA 94565, (925) 458-2878","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",171,0,0,"CLUB MARINA MHC,LLC, PO BOX 2413, DANVILLE, CA 94526","55 PACIFICA AVE, BAY POINT, CA 94565",55 PACIFICA AVE,BAY POINT,CA,94565
"CONCORD MOBILE COUNTRY CLUB, LLC",CONTRA COSTA,07-0088-MP,"1056 SAN MIGUEL RD, CONCORD, CA 94518, (925) 685-7851","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",282,6,0,"MCDONNELL, PATSY, 1056 SAN MIGUEL RD, CONCORD, CA 94518","1056 SAN MIGUEL RD, CONCORD, CA 94518",1056 SAN MIGUEL RD,CONCORD,CA,94518
FLAMINGO MHP,CONTRA COSTA,07-0090-MP,"4400 GATEWAY RD, BETHEL ISLAND, CA 94511, (925) 682-0149","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",62,0,0,"MAHLER, CHUCK, 871 38TH AVE, SANTA CRUZ, CA 95062","4400 GATEWAY RD, BETHEL ISLAND, CA 94511",4400 GATEWAY RD,BETHEL ISLAND,CA,94511
CAMINO MHP,CONTRA COSTA,07-0091-MP,"14530 BYRON HWY, BYRON, CA 94514, (925) 634-2427","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",67,0,0,"DUARTE, SALLY, 200 W CYPRESS AVE, OAKLEY, CA 94561","14530 BYRON HWY, BYRON, CA 94514",14530 BYRON HWY,BYRON,CA,94514
"CLAYTON PALMS COMMUNITY, LP",CONTRA COSTA,07-0093-MP,"16711 MARSH CREEK RD, CLAYTON, CA 94517, (925) 754-1434","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",189,8,0,"PALMS PROPERTY MANAGEMENT, 7100 W FLORIDA AVE, HEMET, CA 92545","16711 MARSH CREEK RD, CLAYTON, CA 94517",16711 MARSH CREEK RD,CLAYTON,CA,94517
TOWN\COUNTRY,CONTRA COSTA,07-0096-MP,"1060 SAN MIGUEL RD, CONCORD, CA 94518, (925) 689-5551","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",167,0,0,"TOWN & COUNTRY CO LLC, 473 HOPE ST #1, MOUNTAIN VIEW, CA 94041","1060 SAN MIGUEL RD, CONCORD, CA 94518",1060 SAN MIGUEL RD,CONCORD,CA,94518
WALNUT ACRES MHP,CONTRA COSTA,07-0097-MP,"3660 WALNUT BLVD, BRENTWOOD, CA 94513, (925) 634-2311","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",94,0,0,"LEONARD AND SHARON DEL CHIARO FAMILY TRUST, 3090 FITE CIR SUITE # 203, SACRAMENTO, CA 95827","3660 WALNUT BLVD, BRENTWOOD, CA 94513",3660 WALNUT BLVD,BRENTWOOD,CA,94513
TARA HILLS MOBILE MANOR,CONTRA COSTA,07-0098-MP,"16401 SAN PABLO AVE, SAN PABLO, CA 94806, (510) 724-5480","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",250,0,0,"PACIFIC MOBILE MNGT CO, 1033 GAYLEY AVE SUITE # 200, LOS ANGELES, CA 90024","16401 SAN PABLO AVE, SAN PABLO, CA 94806",16401 SAN PABLO AVE,SAN PABLO,CA,94806
CURRY CREEK TP,CONTRA COSTA,07-0099-MP,"4440 MORGAN TERRITORY RD, CLAYTON, CA 94517, (510) 672-4480","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",14,13,0,"BASS, TERRELL, 2184 DEER OAK WY, DANVILLE, CA 94506","4440 MORGAN TERRITORY RD, CLAYTON, CA 94517",4440 MORGAN TERRITORY RD,CLAYTON,CA,94517
ADOBE MOBILE LODGE,CONTRA COSTA,07-0101-MP,"3120 GRANT ST, CONCORD, CA 94520, (925) 687-4038","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",77,0,0,"L H CONCORD PROPERTY, LLC, 3120 GRANT ST, CONCORD, CA 94520","3120 GRANT ST, CONCORD, CA 94520",3120 GRANT ST,CONCORD,CA,94520
CONCORD GARDENS MHP LTD,CONTRA COSTA,07-0102-MP,"3161 TERRAZA DEL SOL, CONCORD, CA 94520, (925) 687-1074","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",260,0,0,"CONCORD GARDENS MHP,LTD, PO BOX 11927, SANTA ANA, CA 92711","3161 TERRAZA DEL SOL, CONCORD, CA 94520",3161 TERRAZA DEL SOL,CONCORD,CA,94520
CHATEAU MOBILE HOME PARK,CONTRA COSTA,07-0103-MP,"3301 BUCHANON RD, ANTIOCH, CA 94509, (925) 754-1985","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",122,0,0,"BIGGS PROPERTY MANAGEMENT, LLC, 1783 GREEN ACRES LANE, FAIRFIELD, CA 94534","3301 BUCHANON RD, ANTIOCH, CA 94509",3301 BUCHANON RD,ANTIOCH,CA,94509
CRESTVIEW MH VILLAGE,CONTRA COSTA,07-0104-MP,"3777 WILLOW PASS RD, BAY POINT, CA 94565, (925) 458-1517","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",87,0,0,"CHEATHAM, CHARLES, C/O CRESTVIEW MOBILE VILLAGE 1900 NE 3RD ST #106-113, BEND, OR 97701","3777 WILLOW PASS RD, BAY POINT, CA 94565",3777 WILLOW PASS RD,BAY POINT,CA,94565
SUN VALLEY VILLAGE,CONTRA COSTA,07-0105-MP,"125 SAHARA DR, PACHECO, CA 94553, (925) 687-7410","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",263,0,0,"YOHANAN, JOHN, 618 N EL CAMINO REAL, SAN MATEO, CA 94401","125 SAHARA DR, PACHECO, CA 94553",125 SAHARA DR,PACHECO,CA,94553
CONCORD CASCADE,CONTRA COSTA,07-0108-MP,"245 ARIA DR, PACHECO, CA 94553, (925) 687-9331","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",283,0,0,"MHC FINANCING LP, PO BOX 8000, MONSEY, NY 10952","245 ARIA DR, PACHECO, CA 94553",245 ARIA DR,PACHECO,CA,94553
WOODGATE MHP,CONTRA COSTA,07-0109-MP,"4603 BALFOUR RD, BRENTWOOD, CA 94513, (925) 634-2626","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",108,0,0,"SEKO CRANTZ ET AL, 4603 BALFOUR RD, BRENTWOOD, CA 94513","4603 BALFOUR RD, BRENTWOOD, CA 94513",4603 BALFOUR RD,BRENTWOOD,CA,94513
EMERALD COVE MHP,CONTRA COSTA,07-0110-MP,"330 MELANIE DR, BAY POINT, CA 94565, (925) 458-0885","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",196,0,0,"QUALITY MOBILEHOME SALES, 3860BLACKHAWK ROAD #150 #260, DANVILLE, CA 94506","330 MELANIE DR, BAY POINT, CA 94565",330 MELANIE DR,BAY POINT,CA,94565
MARINERS COVE MHP,CONTRA COSTA,07-0111-MP,"401 BOUNTY WAY, BAY POINT, CA 94565, (925) 458-1695","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",150,0,0,"MUSSER PROPERTIES, L.P., 871 38TH AVE, SANTA CRUZ, CA 95062","401 BOUNTY WAY, BAY POINT, CA 94565",401 BOUNTY WAY,BAY POINT,CA,94565
"RICHARD H. MCDONNELL RANCHO PROJECT, LLC",CONTRA COSTA,07-0112-MP,"355 VISTA GRANDE, PACHECO, CA 94553, (925) 798-0720","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",158,0,0,"MCDONNELL, PATSY, 355 VISTA GRANDE, PACHECO, CA 94553","355 VISTA GRANDE, PACHECO, CA 94553",355 VISTA GRANDE,PACHECO,CA,94553
DELTA HAWAII MHP,CONTRA COSTA,07-0114-MP,"875 STONEMAN AVE, PITTSBURG, CA 94565, (925) 439-9010","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",281,0,0,"MOBILEHOME ASSOCIATION, PO BOX 1187, SANTA MONICA, CA 90406","875 STONEMAN AVE, PITTSBURG, CA 94565",875 STONEMAN AVE,PITTSBURG,CA,94565
THE MEADOWS MHP,CONTRA COSTA,07-0115-MP,"1515 POLARIS DR, PITTSBURG, CA 94565, (925) 439-2107","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",367,0,0,"MEADOWS MOBILE HOME PARK, LLC, 13701 RIVERSIDE DR #310, SHERMAN OAKS, CA 91423","1515 POLARIS DR, PITTSBURG, CA 94565",1515 POLARIS DR,PITTSBURG,CA,94565
BROOKVIEW PARK,CONTRA COSTA,07-0116-MP,"1201 MONUMENT BLVD, CONCORD, CA 94520, (925) 682-0433","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",78,0,0,"JANICE L HANSEN SURVIORS TRUST, 3090 FITE CIR SUITE # 203, SACRAMENTO, CA 95827","1201 MONUMENT BLVD, CONCORD, CA 94520",1201 MONUMENT BLVD,CONCORD,CA,94520
DELTA VILLA ESTATES,CONTRA COSTA,07-0117-MP,"1900 STRASBOURG LN, ANTIOCH, CA 94509, (925) 754-5588","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",107,0,0,"HOMETOWN AMERICA, 1900 STRASBOURG LN, ANTIOCH, CA 94509","1900 STRASBOURG LN, ANTIOCH, CA 94509",1900 STRASBOURG LN,ANTIOCH,CA,94509
THE LAST RESORT & MARINA,CONTRA COSTA,07-0120-MP,"2600 DUTCH SLOUGH RD, OAKLEY, CA 94561, (916) 893-9999","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",1,11,0,"THE LAST RESORT & MARINA, LLC, C/O OWENS MORTGAGE INVESTMENT FUND PO BOX 2400, WALNUT CREEK, CA 94596","2600 DUTCH SLOUGH RD, OAKLEY, CA 94561",2600 DUTCH SLOUGH RD,OAKLEY,CA,94561
SUGAR BARGE,CONTRA COSTA,07-11201-MP,"1440 SUGAR BARGE RD, BETHEL ISLAND, CA 94511, (925) 684-9075","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,114,"DAVID RIGGS/RIGGS ENTERPRISE INC, PO BOX 1440, BETHEL ISLAND, CA 94511","1440 SUGAR BARGE RD, BETHEL ISLAND, CA 94511",1440 SUGAR BARGE RD,BETHEL ISLAND,CA,94511
NEW DOC'S MARINA,CONTRA COSTA,07-11241-MP,"3212 DUTCH SLOUGH RD, OAKLEY, CA 94561, (925) 684-3737","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,9,0,"MAES, LARRY, PO BOX 1672, BETHEL ISLAND, CA 94511","3212 DUTCH SLOUGH RD, OAKLEY, CA 94561",3212 DUTCH SLOUGH RD,OAKLEY,CA,94561
SMOKEY HOLLOW,CONTRA COSTA,07-11601-MP,"6777 RIVERVIEW RD, BETHEL ISLAND, CA 94511, (925) 684-3921","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,75,0,"KENT, RICHARD, PO BOX 648, BETHEL ISLAND, CA 94511","6777 RIVERVIEW RD, BETHEL ISLAND, CA 94511",6777 RIVERVIEW RD,BETHEL ISLAND,CA,94511
WILLOW MOBILE HOME PARK,CONTRA COSTA,07-12241-MP,"2885 WILLOW ROAD, SAN PABLO, CA 94806, (831) 475-0335","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","CITY OF SAN PABLO COMM. DEV., MOBILEHOME PARKS PROGRAM, 13831 SAN PABLO AVE., BLDG 5, SAN PABLO, CA 94806",38,0,0,"CITY OF SAN PABLO REDEVELOPMENT, 13831 SAN PABLO AVE, SAN PABLO, CA 94806","2885 WILLOW ROAD, SAN PABLO, CA 94806",2885 WILLOW ROAD,SAN PABLO,CA,94806
NORTHERN STAR MHP,DEL NORTE,08-0001-MP,"4628 KING VALLEY RD, CRESCENT CITY, CA 95531, (707) 464-4761","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",8,0,0,"SWEETLAND, TERRY, 362 MCCARTHY AVENUE, OCEANO, CA 93445","4628 KING VALLEY RD, CRESCENT CITY, CA 95531",4628 KING VALLEY RD,CRESCENT CITY,CA,95531
CAMP MARIGOLD GARDEN COTTAGES,DEL NORTE,08-0002-MP,"16101 US HWY 101 N, KLAMATH, CA 95548, (562) 429-6533","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,40,0,"MCCULLOUGH, MICHELLE, C/O JAMES WEIR 2325 JOSIE AVE, LONG BEACH, CA 90815","16101 US HWY 101 N, KLAMATH, CA 95548",16101 US HWY 101 N,KLAMATH,CA,95548
XAA-WAN'-K'WVT VILLAGE AND RESORT - SOUTH,DEL NORTE,08-0003-MP,"12340 HWY 101, SMITH RIVER, CA 95567, (707) 487-3141","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",99,201,12,"TOLOWA DEE-NI' NATION, 140 ROWDY CREEK ROAD, SMITH RIVER, CA 95567","12340 HWY 101, SMITH RIVER, CA 95567",12340 HWY 101,SMITH RIVER,CA,95567
"PINEGROVE MHP, LLC",DEL NORTE,08-0004-MP,"2200 NORTHCREST DR, CRESCENT CITY, CA 95531, (707) 954-8893","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",19,35,0,"BURNHAM, MACY, 2769 NEWBURGH WAY, RENO, NV 89523","2200 NORTHCREST DR, CRESCENT CITY, CA 95531",2200 NORTHCREST DR,CRESCENT CITY,CA,95531
PACIFIC TERRACE MANOR,DEL NORTE,08-0005-MP,"1093 HWY 101 NORTH, CRESCENT CITY, CA 95531, (707) 464-2439","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","CRESCENT CITY DEPT. OF PUBLIC WORKS, MOBILEHOME PARKS PROGRAM, 377 ""J"" STREET, CRESCENT CITY, CA 95531",38,0,0,"D. J. MOBILE LLC, PO BOX 580, ORANGEVALE, CA 95662","1093 HWY 101 NORTH, CRESCENT CITY, CA 95531",1093 HWY 101 NORTH,CRESCENT CITY,CA,95531
TRAILS END,DEL NORTE,08-0006-MP,"600 SARINA RD, SMITH RIVER, CA 95567, (707) 482-3585","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",14,16,0,"RESERVATION RANCH, PO BOX 75, SMITH RIVER, CA 95567","600 SARINA RD, SMITH RIVER, CA 95567",600 SARINA RD,SMITH RIVER,CA,95567
KLAMATH COVE,DEL NORTE,08-0008-MP,"16400 HWY 101 N., KLAMATH, CA 95548, (503) 719-4931","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",32,18,20,"LEE, ERICA, PO BOX 2071, CRESCENT CITY, CA 95531","16400 HWY 101 N., KLAMATH, CA 95548",16400 HWY 101 N.,KLAMATH,CA,95548
GOLD RIVER LODGE,DEL NORTE,08-0016-MP,"200 HUGHES RD, KLAMATH, CA 95548, (707) 482-5105","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,50,0,"BANSEMER, JAMES & DEANNA, 861 JODEE LN, BROOKINGS, OR 97415","200 HUGHES RD, KLAMATH, CA 95548",200 HUGHES RD,KLAMATH,CA,95548
"NORTHCREST MHP, LLC",DEL NORTE,08-0017-MP,"1950 NORTHCREST DR #22B, CRESCENT CITY, CA 95531, (707) 464-6315","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",81,0,0,"BURNHAM, MACY, 2769 NEWBURGH WAY, RENO, NV 89523","1950 NORTHCREST DR #22B, CRESCENT CITY, CA 95531",1950 NORTHCREST DR #22B,CRESCENT CITY,CA,95531
ROWDY CREEK MHP,DEL NORTE,08-0019-MP,"213 N FRED HAIGHT DR, SMITH RIVER, CA 95567, (707) 487-6061","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",34,8,0,"FROSINI, DON, PO BOX 368, SMITH RIVER, CA 95567","213 N FRED HAIGHT DR, SMITH RIVER, CA 95567",213 N FRED HAIGHT DR,SMITH RIVER,CA,95567
PACIFIC OCEAN PARK,DEL NORTE,08-0021-MP,"1130 HWY 101 NORTH, CRESCENT CITY, CA 95531, (707) 464-5527","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",48,31,0,"LE PAPPAS RE LLC, PO BOX 1015, WEST SACRAMENTO, CA 95691","1130 HWY 101 NORTH, CRESCENT CITY, CA 95531",1130 HWY 101 NORTH,CRESCENT CITY,CA,95531
SHADY BEND LLC,DEL NORTE,08-0024-MP,"9070 HWY 199, GASQUET, CA 95543, (707) 954-0032","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",5,16,0,"TWOMEY, TERRY, 9070 US HWY 199, GASQUET, CA 95543","9070 HWY 199, GASQUET, CA 95543",9070 HWY 199,GASQUET,CA,95543
BUTTE MHP,DEL NORTE,08-0025-MP,"1010 BUTTE ST, CRESCENT CITY, CA 95531, (707) 356-2188","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",26,0,0,"SEPAHMANSOUR, FRED, 11031 WOODRING DR, MATHER, CA 95655","1010 BUTTE ST, CRESCENT CITY, CA 95531",1010 BUTTE ST,CRESCENT CITY,CA,95531
TERWER PARK RESORT,DEL NORTE,08-0026-MP,"641 TERWER RIFFLE RD, KLAMATH, CA 95548, (707) 482-3855","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,87,0,"FLYNN CO INC, 641 TERWER RIFLE RD, KLAMATH, CA 95548","641 TERWER RIFFLE RD, KLAMATH, CA 95548",641 TERWER RIFFLE RD,KLAMATH,CA,95548
VILLAGE OF GASQUET,DEL NORTE,08-0029-MP,"10300 HWY 199, GASQUET, CA 95543, (802) 922-8320","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",20,11,0,"HINTZ, DENNIS, 16340 LOWER HARBOR RD, BROOKINGS, OR 97415","10300 HWY 199, GASQUET, CA 95543",10300 HWY 199,GASQUET,CA,95543
